"Country.of.Origin","Number.of.Bags","Bag.Weight","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Cupper.Points","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Category.Two.Defects"
"Ethiopia",320,"60 kg","Natural / Dry",7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,84,0.11,3,11,1
"Honduras",275,"66 kg","Washed / Wet",7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,84,0.1,0,0,5
"Guatemala",275,"69 kg","Washed / Wet",7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,84,0.12,0,0,7
"Colombia",250,"1 kg","Washed / Wet",7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,84,0.11,2,0,7
"Guatemala",250,"69 kg","Natural / Dry",7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,84,0.1,0,0,1
"Guatemala",250,"69 kg","Other",7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,84,0.1,0,0,0
"Colombia",250,"1 kg","Washed / Wet",7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,84,0.12,0,0,0
"Colombia",250,"70 kg","Natural / Dry",7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,84,0.12,0,0,0
"Colombia",138,"70 kg","Washed / Wet",7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,84,0.12,0,0,3
"Ethiopia",50,"60 kg","Natural / Dry",7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,84,0.09,4,0,40
"Brazil",320,"60 kg","Natural / Dry",7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,84,0.1,0,0,0
"Colombia",270,"70 kg","Washed / Wet",7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,84,0.11,0,0,1
"Kenya",300,"60 kg","Washed / Wet",7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,84,0,0,0,2
"Thailand",2,"1 kg","Washed / Wet",7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84,0.12,0,0,0
"Kenya",150,"9000 kg","Washed / Wet",7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,84,0,0,0,0
"Uganda",320,"60 kg","Washed / Wet",7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,84,0.1,10,0,26
"Brazil",320,"60 kg","Natural / Dry",7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,83.92,0,0,0,3
"Mexico",200,"69 kg","Washed / Wet",7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,83.92,0.11,0,0,5
"Thailand",45,"40 kg","Natural / Dry",7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,83.92,0.1,0,0,1
"Brazil",320,"60 kg","Natural / Dry",7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,83.92,0.11,0,2,7
"Taiwan",20,"50 kg","Washed / Wet",7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,83.92,0.11,0,0,3
"Taiwan",1,"2 kg","Natural / Dry",7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,83.92,0,0,0,0
"Colombia",275,"2 kg","Washed / Wet",7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,83.92,0,0,0,0
"Colombia",275,"2 kg","Washed / Wet",7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,83.92,0,1,0,1
"Colombia",275,"70 kg","Washed / Wet",7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,83.92,0,0,0,1
"Taiwan",10,"60 kg","Washed / Wet",8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,83.92,0.06,0,0,0
"Colombia",250,"70 kg","Natural / Dry",7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,83.92,0.12,0,0,3
"Mexico",48,"1 kg","Washed / Wet",7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,83.92,0.12,10,0,32
"Mexico",250,"1 kg","Washed / Wet",7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,83.92,0.11,0,0,2
"Mexico",20,"1 kg","Washed / Wet",7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,83.92,0,0,0,2
"Colombia",275,"70 kg","Washed / Wet",7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,83.83,0,1,0,6
"Costa Rica",275,"69 kg","Washed / Wet",7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,83.83,0,0,0,0
"Guatemala",100,"69 kg","Washed / Wet",7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,83.83,0.11,0,7,6
"Brazil",320,"2 kg","Natural / Dry",7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,83.83,0,0,0,0
"Taiwan",8,"18 kg","Washed / Wet",7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,83.83,0,0,0,1
"Ethiopia",320,"60 kg","Natural / Dry",7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,83.83,0.12,0,0,4
"Brazil",300,"2 kg","Semi-washed / Semi-pulped",7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,83.83,0,0,0,1
"Costa Rica",250,"1 kg","Washed / Wet",7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,83.83,0.1,0,0,3
"Guatemala",250,"69 kg","Washed / Wet",7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,83.83,0.1,0,0,1
"Brazil",320,"60 kg","Natural / Dry",7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,83.83,0.1,0,0,0
"Ecuador",1,"5 lbs","Natural / Dry",7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,83.83,0.09,0,0,0
"Colombia",250,"70 kg","Washed / Wet",7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,83.83,0.11,0,0,1
"Guatemala",250,"69 kg","Washed / Wet",7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,83.83,0.11,0,0,3
"Mexico",20,"1 kg","Natural / Dry",7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,83.83,0.1,0,0,2
"Mexico",250,"1 kg","Natural / Dry",7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83,83.83,0.11,0,0,4
"Brazil",300,"1 kg","Semi-washed / Semi-pulped",7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,83.83,0.12,0,0,3
"Kenya",200,"60 kg","Washed / Wet",7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,83.75,0.11,0,0,2
"Brazil",320,"60 kg","Natural / Dry",7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,83.75,0.11,0,0,5
"Colombia",275,"70 kg","Washed / Wet",7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,83.75,0.11,0,0,1
"Taiwan",10,"10 kg","Natural / Dry",7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,83.75,0,0,0,0
"Colombia",275,"70 kg","Washed / Wet",7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,83.75,0,1,0,4
"China",3,"60 kg","Washed / Wet",7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,83.75,0.1,0,1,2
"Colombia",250,"70 kg","Natural / Dry",7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,83.75,0,0,0,0
"Uganda",320,"60 kg","Natural / Dry",8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,83.75,0.12,0,0,0
"United States (Puerto Rico)",18,"5 lbs","Washed / Wet",7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,83.75,0.12,0,0,1
"Colombia",100,"70 kg","Washed / Wet",7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,83.75,0,0,0,5
"Colombia",250,"70 kg","Washed / Wet",7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,83.75,0,0,0,3
"Colombia",250,"70 kg","Washed / Wet",7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,83.75,0,0,0,1
"Colombia",275,"70 kg","Washed / Wet",7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,83.75,0.11,0,0,3
"United States (Hawaii)",12,"100 lbs","Natural / Dry",7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,83.75,0,0,0,0
"Mexico",10,"1 kg","Natural / Dry",7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,83.75,0.13,5,0,5
"Guatemala",250,"3 lbs","Washed / Wet",7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,83.75,0.11,0,0,1
"Brazil",320,"60 kg","Natural / Dry",7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,83.67,0.11,0,0,2
"Kenya",200,"60 kg","Washed / Wet",8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,83.67,0.11,0,0,0
"Honduras",285,"69 kg","Washed / Wet",7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,83.67,0.1,0,0,2
"Nicaragua",275,"69 kg","Washed / Wet",7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,83.67,0.1,0,0,3
"Brazil",320,"60 kg","Natural / Dry",7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,83.67,0.11,0,2,3
"Taiwan",20,"50 kg","Natural / Dry",7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,83.67,0.1,0,0,0
"Thailand",1,"1 kg","Washed / Wet",7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,83.67,0.12,0,0,0
"Colombia",100,"2 lbs","Washed / Wet",7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,83.67,0.11,0,0,4
"Guatemala",275,"69 kg","Washed / Wet",8,7.5,7.33,8,8,8,9.33,10,10,7.5,83.67,0.1,0,0,0
"Colombia",250,"70 kg","Washed / Wet",7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,83.67,0,0,0,3
"Colombia",250,"70 kg","Washed / Wet",7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,83.67,0,0,0,1
"Guatemala",250,"69 kg","Washed / Wet",7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,83.67,0.12,1,0,3
"Guatemala",250,"69 kg","Washed / Wet",7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,83.67,0.11,0,0,2
"Colombia",250,"70 kg","Washed / Wet",7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,83.67,0.11,0,0,1
"Guatemala",250,"1 kg","Natural / Dry",8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,83.67,0.11,0,0,1
"Guatemala",250,"1 kg","Washed / Wet",7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,83.67,0.11,0,0,13
"Mexico",48,"1 kg","Washed / Wet",7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,83.67,0.12,4,0,11
"Indonesia",10,"60 kg","Washed / Wet",8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,83.67,0.12,0,0,0
"Guatemala",250,"69 kg","Washed / Wet",7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,83.67,0.1,0,0,0
"Brazil",320,"60 kg","Natural / Dry",7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,83.58,0.11,0,0,5
"Guatemala",275,"69 kg","Washed / Wet",7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.58,0.11,0,1,0
"Colombia",275,"70 kg","Washed / Wet",7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.11,0,0,4
"China",3,"60 kg","Washed / Wet",7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.1,0,1,4
"Colombia",275,"70 kg","Washed / Wet",7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,83.58,0.12,0,0,3
"Mexico",275,"2 kg","Washed / Wet",7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,83.58,0.12,1,0,13
"Ethiopia",250,"60 kg","Washed / Wet",7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,83.58,0,0,0,7
"Uganda",100,"60 kg","Washed / Wet",7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,83.58,0.12,0,0,5
"Colombia",250,"70 kg","Natural / Dry",7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,83.58,0,0,0,0
"Colombia",250,"70 kg","Washed / Wet",7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,83.58,0.12,0,0,1
"Colombia",250,"70 kg","Washed / Wet",7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,83.58,0,0,0,0
"Taiwan",10,"30 kg","Other",7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,83.58,0.11,0,0,0
"Colombia",275,"70 kg","Washed / Wet",7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,83.58,0.11,0,0,3
"Mexico",250,"1 kg","Washed / Wet",7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.12,0,0,2
"Colombia",250,"70 kg","Natural / Dry",7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.11,0,0,4
"Brazil",33,"60 kg","Semi-washed / Semi-pulped",7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,83.58,0.12,0,0,2
"Colombia",50,"70 kg","Washed / Wet",7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,83.5,0,0,0,5
"Costa Rica",245,"69 kg","Washed / Wet",7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,83.5,0,0,0,0
"Colombia",250,"70 kg","Natural / Dry",7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,83.5,0,0,0,0
"Guatemala",250,"69 kg","Washed / Wet",7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.5,0.1,0,2,5
"Colombia",180,"70 kg","Washed / Wet",7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,83.5,0.12,0,0,4
"Tanzania, United Republic Of",5,"60 kg","Washed / Wet",7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,83.5,0.13,0,0,21
"Indonesia",200,"30 kg","Semi-washed / Semi-pulped",7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,83.5,0.13,0,0,8
"Ethiopia",320,"60 kg","Natural / Dry",7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,83.5,0.1,1,0,18
"Colombia",275,"2 kg","Washed / Wet",7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,83.5,0,1,0,0
"Colombia",275,"70 kg","Washed / Wet",8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,83.5,0.11,0,0,0
"Guatemala",250,"1 kg","Washed / Wet",7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,83.5,0.1,0,0,0
"Colombia",250,"70 kg","Washed / Wet",7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,83.5,0,2,0,0
"Honduras",275,"1 kg","Natural / Dry",7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,83.5,0.1,0,0,3
"Colombia",250,"70 kg","Washed / Wet",7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,83.5,0,1,0,1
NA,168,"99999 kg",NA,7.58,7.5,7.42,7.5,7.5,7.5,10,10,10,7.5,82.42,0.11,0,0,2
"Mexico",10,"1 kg","Natural / Dry",7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,83.5,0.13,0,0,14
"Mexico",10,"1 kg","Semi-washed / Semi-pulped",7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,83.5,0.11,0,0,12
"Mexico",15,"1 kg","Washed / Wet",7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,83.5,0.12,0,0,0
"Guatemala",275,"69 kg","Washed / Wet",7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,83.5,0.1,0,0,5
"Colombia",175,"70 kg","Washed / Wet",7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,83.5,0.11,0,0,0
"Guatemala",250,"2 kg","Washed / Wet",7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,83.5,0,3,0,12
"Colombia",300,"29 kg","Washed / Wet",7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,83.42,0,0,2,1
"Guatemala",50,"69 kg","Washed / Wet",7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,83.42,0.1,0,0,3
"Colombia",600,"29 kg","Washed / Wet",7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,83.42,0.11,0,0,2
"Costa Rica",275,"69 kg","Washed / Wet",7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,83.42,0.09,0,0,4
"Uganda",20,"1218 kg","Washed / Wet",7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,83.42,0.11,0,0,1
"Thailand",500,"25 kg","Washed / Wet",7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,83.42,0.13,0,0,0
"El Salvador",275,"69 kg","Washed / Wet",7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,83.42,0.11,0,0,0
"Colombia",275,"70 kg","Natural / Dry",7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,83.42,0.12,4,0,0
"Brazil",300,"60 kg","Semi-washed / Semi-pulped",7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,83.42,0.12,0,0,6
"Tanzania, United Republic Of",39,"60 kg","Washed / Wet",7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,83.42,0.13,0,0,4
"Colombia",250,"70 kg","Washed / Wet",7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,83.42,0.12,0,0,1
"Guatemala",250,"69 kg","Natural / Dry",7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,83.42,0.1,0,0,1
"Guatemala",250,"69 kg","Washed / Wet",7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,83.42,0.1,0,0,2
"Guatemala",250,"69 kg","Washed / Wet",7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,83.42,0.11,0,0,0
"United States (Hawaii)",13,"100 lbs","Natural / Dry",7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,83.42,0,0,0,2
"Colombia",250,"70 kg","Washed / Wet",7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,83.42,0.11,0,0,2
"Colombia",275,"70 kg","Washed / Wet",7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,83.33,0,0,1,0
"Colombia",130,"70 kg","Washed / Wet",7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,83.33,0,0,0,0
"Colombia",275,"70 kg","Washed / Wet",7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.33,0,1,0,2
"Brazil",10,"2 kg","Semi-washed / Semi-pulped",7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83.33,0.1,1,0,5
"Mexico",275,"1 kg","Washed / Wet",7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,83.33,0.12,0,0,2
"Colombia",275,"70 kg","Washed / Wet",7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,83.33,0.11,0,0,1
"Tanzania, United Republic Of",10,"60 kg","Semi-washed / Semi-pulped",7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,83.33,0.12,0,0,6
"Mexico",200,"1 kg","Washed / Wet",7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,83.33,0.12,0,0,0
"Costa Rica",250,"3 lbs","Washed / Wet",7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,83.33,0.12,0,0,3
"United States (Hawaii)",12,"100 lbs","Natural / Dry",7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,83.33,0.11,0,0,1
"Costa Rica",250,"1 kg","Washed / Wet",7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,83.33,0.11,0,0,3
"Peru",280,"5 lbs","Washed / Wet",7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,83.33,0.12,0,0,5
"Haiti",2,"4 lbs","Washed / Wet",7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,83.33,0.11,0,0,4
"Colombia",250,"70 kg","Natural / Dry",7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,83.33,0.11,0,0,1
"Guatemala",250,"69 kg","Washed / Wet",7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,83.33,0.11,0,0,3
"United States (Hawaii)",7,"100 lbs","Natural / Dry",7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,83.33,0.1,0,0,4
"Burundi",220,"60 kg","Washed / Wet",7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,83.33,0,0,0,5
"Colombia",250,"70 kg","Washed / Wet",7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,83.33,0,0,0,1
"Mexico",50,"50 kg","Washed / Wet",7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,83.25,0.11,0,0,0
"Costa Rica",29,"46 kg","Pulped natural / honey",7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,83.25,0.11,0,0,0
"Costa Rica",275,"69 kg","Washed / Wet",7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,83.25,0.11,0,0,0
"Guatemala",275,"0 kg","Washed / Wet",7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,83.25,0.11,0,2,7
"Uganda",150,"9000 kg","Washed / Wet",7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,83.25,0.12,0,0,1
"Colombia",304,"35 kg","Natural / Dry",7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,83.25,0,0,0,2
"Mexico",11,"2 kg","Natural / Dry",7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,83.25,0.12,0,0,2
"Taiwan",10,"15 kg","Washed / Wet",7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,83.25,0.1,0,0,0
"Taiwan",10,"60 kg","Washed / Wet",7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,83.25,0.1,0,0,0
"Colombia",250,"70 kg","Natural / Dry",7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,83.25,0,0,0,0
"Guatemala",26,"69 kg","Washed / Wet",7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,83.25,0.1,0,0,1
"Colombia",275,"70 kg","Washed / Wet",7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,83.25,0.11,0,0,1
"Mexico",200,"1 kg","Washed / Wet",7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,83.25,0.12,0,0,6
"United States (Hawaii)",11,"100 lbs","Natural / Dry",7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,83.25,0.11,0,0,4
"Mexico",10,"1 kg","Washed / Wet",7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.25,0.13,0,0,7
"Mexico",54,"1 kg","Washed / Wet",7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,83.25,0.12,0,0,0
"Guatemala",250,"1 kg","Washed / Wet",7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,83.25,0.11,0,0,9
"Brazil",30,"60 kg","Semi-washed / Semi-pulped",7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,83.25,0.11,0,0,1
"Colombia",250,"70 kg","Washed / Wet",7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,83.25,0.12,0,0,1
"Colombia",175,"70 kg","Washed / Wet",7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,83.25,0.11,0,0,0
"Brazil",320,"60 kg","Natural / Dry",7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,83.17,0.11,0,0,4
"Guatemala",275,"69 kg","Washed / Wet",7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,83.17,0.1,0,0,1
"Tanzania, United Republic Of",320,"60 kg","Washed / Wet",7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,83.17,0.12,0,0,3
"Vietnam",1,"2 kg","Natural / Dry",7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,83.17,0.07,0,0,0
"Guatemala",250,"1500 kg","Washed / Wet",7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,83.17,0.11,2,2,3
"Honduras",275,"69 kg","Washed / Wet",7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,0,1,1
"China",3,"60 kg","Washed / Wet",7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,83.17,0.11,0,0,0
"China",3,"60 kg","Washed / Wet",7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,83.17,0.1,0,0,3
"El Salvador",275,"69 kg","Washed / Wet",7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,83.17,0,0,0,0
"Guatemala",150,"69 kg","Washed / Wet",7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,83.17,0.11,0,0,1
"Guatemala",100,"69 kg","Washed / Wet",7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,83.17,0.12,0,0,3
"Kenya",300,"2 kg","Washed / Wet",7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17,0.1,0,0,1
"Thailand",1,"1 kg","Washed / Wet",7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,83.17,0.12,0,0,0
"Tanzania, United Republic Of",180,"60 kg","Washed / Wet",7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,83.17,0.13,0,0,6
"Colombia",232,"70 kg","Washed / Wet",7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,83.17,0,0,0,4
"Uganda",84,"60 kg","Washed / Wet",8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,83.17,0.1,0,0,0
"Colombia",1,"4 lbs","Washed / Wet",7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,83.17,0.11,10,0,3
"Honduras",275,"1 kg","Natural / Dry",7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,83.17,0.1,0,0,5
"Honduras",275,"1 kg","Natural / Dry",7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,0,0,3
"Guatemala",200,"69 kg","Washed / Wet",7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,83.17,0.09,0,0,1
"United States (Hawaii)",6,"100 lbs","Natural / Dry",7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,83.17,0.11,0,0,0
"Tanzania, United Republic Of",300,"1 kg","Washed / Wet",7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,83.17,0.12,0,0,1
"Guatemala",250,"69 kg","Washed / Wet",7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,0,0,2
"Mexico",45,"1 kg","Washed / Wet",7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,83.17,0.11,0,0,2
